sl_no,career,stream_after_12th,required_skills,preferred_interests,education_level_min,time_years_avg,cost_inr_avg,difficulty_level,risk_level,popularity_in_india,career_description,experiment_tasks_sample
25,Chartered Accountant (Junior),Commerce,accounting;taxation;auditing;finance;excel,business;numbers;compliance,Professional (CA),3,300000,high,medium,high,Assist in auditing and taxation tasks.,Assist in audit fieldwork;Prepare tax returns;Maintain books;Assist in compliance checks;Learn GST filing
26,Digital Marketing Analyst,Any,seo;analytics;google analytics;data interpretation,marketing;data-driven decisions,Bachelor's,3,400000,medium,low,high,Analyze digital campaign performance and optimize.,Learn Google Analytics;Analyze campaign data;Create reports;Test A/B variations;Present insights
27,Fashion Merchandiser,Arts / Any,trend forecasting;inventory management;retail;negotiation,fashion;business;trends,Bachelor's in Fashion / Retail,4,500000,medium,medium,high,Manage fashion product inventory and sales.,Study market trends;Plan inventory;Negotiate with suppliers;Analyze sales data;Present merchandising plan
28,Government Job - Defence Officer (NDA),Any (PCM for technical),physical fitness;maths;general ability,defence;discipline;patriotism,12th + NDA,4-5 (training),200000,high,low,very high,Serve as officer in Indian Army/Navy/Air Force.,Prepare for NDA exam;Practice physical fitness;Read defence news;Take mock tests;Join coaching
29,Content Creator / Influencer (Professional),Any,video editing;storytelling;social media;seo;branding,creativity;trends;communication,Bachelor's or self-taught + experience,4,400000,low,medium,very high,Build personal brand and monetize content.,Grow audience;Collaborate with brands;Monetize content;Analyze engagement;Plan content strategy
30,Renewable Energy Engineer (Senior),Science (PCM),solar/wind tech;electrical engineering;project management;cad;leadership,green energy;sustainability;innovation,Bachelor's + experience,7,1000000,high,medium,high,Lead renewable energy projects and design.,Lead project execution;Design large-scale systems;Conduct feasibility studies;Mentor engineers;Present to stakeholders
31,Software Engineer (Lead),Science (PCM),python;c++;problem solving;web dev;git;team leadership,technology;innovation;gadgets;leadership,Bachelor's + experience,7,1100000,medium,low,high,Lead software teams and design large-scale systems.,Lead project planning;Conduct code reviews;Mentor team;Design system architecture;Present to stakeholders
32,AI/ML Engineer (Senior),Science (PCM),python;machine learning;tensorflow;statistics;data modeling;leadership,AI;data patterns;automation;research,Master's preferred,7,1000000,high,medium,very high,Lead AI/ML projects and model development.,Lead ML project;Review model performance;Guide team on ethics;Deploy models at scale;Publish research
33,Data Scientist (Senior),Science (PCM),python;sql;statistics;machine learning;pandas;leadership,data analysis;research;insights;strategy,Master's preferred,6,900000,high,medium,high,Lead data science teams and strategic analysis.,Lead data strategy;Mentor data scientists;Drive business decisions;Present insights;Publish findings
34,Cybersecurity Specialist (Lead),Science (PCM) or Any,networking;ethical hacking;firewalls;python;cyber threats;leadership,security;problem solving;protecting systems,Bachelor's + advanced certifications,6,950000,high,medium,very high,Lead cybersecurity strategy and incident response.,Develop security strategy;Lead incident response;Mentor team;Conduct audits;Report to board
35,Doctor (Specialist),Science (PCB),biology;chemistry;medicine;anatomy;empathy;specialization,helping people;biology;science,MBBS + PG,8-10,2500000,very high,high,high,Specialize in a medical field and treat patients.,Complete residency;Perform specialized procedures;Consult on cases;Teach medical students;Publish research
36,Chartered Accountant (Senior),Commerce,accounting;taxation;auditing;finance;excel;leadership,business;numbers;compliance,Professional (CA),6,700000,high,medium,high,Lead financial audits and advisory services.,Lead audit engagements;Advise on tax strategy;Mentor juniors;Prepare financial reports;Consult on compliance
37,Digital Marketing (Senior),Any,seo;social media;content strategy;google ads;analytics;strategy,marketing;trends;creativity,Bachelor's + experience,5,600000,low,low,very high,Develop and lead digital marketing strategies.,Create marketing strategy;Lead campaigns;Analyze ROI;Mentor team;Present results
38,Fashion Designer (Lead),Arts / Any,fashion sketching;garment construction;trend forecasting;brand management;leadership,fashion;creativity;branding,Bachelor's + experience,8,1000000,medium,low,high,Lead fashion houses or design teams.,Lead collection development;Manage design team;Work with international buyers;Present at fashion weeks;Study global trends
39,Government Job - IRS Officer,Any (UPSC),general studies;taxation;accounting;current affairs,public service;finance;administration,Bachelor's + UPSC,6-8,500000,very high,low,very high,Serve in Indian Revenue Service (taxation and finance).,Read taxation laws;Practice UPSC papers;Take mock interviews;Read current affairs;Join coaching
40,Software Engineer (Full Stack),Science (PCM),javascript;react;node.js;python;database,technology;web development,Bachelor's,5,750000,medium,low,high,Develop both frontend and backend of web applications.,Build full-stack project;Deploy to cloud;Learn React & Node;Optimize performance;Write tests
41,AI/ML Engineer (Research),Science (PCM),python;deep learning;pytorch;research papers;statistics,AI;research;innovation;papers,Master's + research,6,850000,high,medium,very high,Conduct research and publish in AI/ML.,Read latest papers;Implement research;Write paper;Present at conference;Collaborate
42,Bank Clerk (Government Job),Commerce / Any,quantitative aptitude;reasoning;english;general awareness,banking;stability,Bachelor's + IBPS Clerk,1-2 (training),200000,low,low,very high,Work as clerk in public sector bank.,Practice banking awareness;Take mock tests;Prepare interview;Learn banking operations;Join coaching
43,SSC CHSL Officer (Government Job),Any,general intelligence;english;quant;general awareness,government service;stability,Bachelor's + SSC CHSL,1-2 (training),200000,low,low,very high,Work in lower division clerk or data entry operator roles in govt departments.,Practice reasoning;Read current affairs;Take mock tests;Prepare typing test;Join coaching
44,Railway Technician (Government Job),Science (PCM),technical knowledge;maths;reasoning,railways;technical;stability,10th/ITI + RRB,1-2 (training),250000,medium,low,very high,Work as technician in Indian Railways.,Study railway technical;Practice reasoning;Take mock tests;Prepare interview;Join coaching
45,Defence Officer (Captain Level),Any (PCM for technical),physical fitness;leadership;strategy,defence;discipline;patriotism,Bachelor's + NDA + service,8-10,300000,high,low,very high,Serve as mid-level officer in Indian Armed Forces.,Lead company;Plan operations;Train soldiers;Implement strategy;Report to higher command
46,Content Creator / Influencer (Mid-Level),Any,video editing;storytelling;social media;seo,creativity;trends;communication,Bachelor's or self-taught + experience,3-5,300000,low,medium,very high,Grow mid-level personal brand and monetize content.,Grow 100k+ followers;Collaborate with brands;Monetize content;Analyze engagement;Plan content strategy
47,Renewable Energy Engineer (Project Lead),Science (PCM),solar/wind tech;electrical engineering;project management;cad;leadership,green energy;sustainability;innovation,Bachelor's + experience,8,1100000,high,medium,high,Lead large renewable energy projects.,Lead project execution;Manage budgets;Oversee installation;Mentor engineers;Present to investors
48,Software Engineer (Architect Level),Science (PCM),python;c++;problem solving;web dev;git;architecture;leadership,technology;innovation;strategy,Bachelor's + experience,9,1300000,medium,low,high,Design architecture for enterprise software systems.,Lead architecture design;Review technical decisions;Mentor teams;Present to C-level;Optimize for scale
49,AI/ML Engineer (Director Level),Science (PCM),python;machine learning;tensorflow;statistics;data modeling;leadership;strategy,AI;data patterns;automation;business,Master's + leadership experience,10,1500000,high,medium,very high,Direct AI/ML strategy for organizations.,Define AI roadmap;Lead multiple teams;Secure funding;Publish thought leadership;Present to board
50,Data Scientist (Director Level),Science (PCM),python;sql;statistics;machine learning;pandas;leadership;strategy,data analysis;research;insights;business,Master's + leadership experience,9,1300000,high,medium,high,Direct data science and analytics strategy.,Lead data organization;Drive business transformation;Present to executives;Publish industry insights;Mentor leaders
51,AI/ML Engineer (Mid-Level),Science (PCM),python;machine learning;tensorflow;statistics;data modeling,AI;data patterns;automation,Bachelor's + 3-5 years,5,700000,high,medium,very high,Mid-level AI/ML model development and deployment.,Build mid-complexity models;Collaborate with data engineers;Deploy models;Monitor performance;Document work
52,Data Scientist (Mid-Level),Science (PCM),python;sql;statistics;machine learning;pandas,data analysis;research;insights,Bachelor's + 3-5 years,5,700000,high,medium,high,Mid-level data analysis and insight generation.,Perform advanced EDA;Build predictive models;Create dashboards;Present findings;Collaborate with business teams
53,Cybersecurity Analyst (Mid-Level),Science (PCM) or Any,networking;ethical hacking;firewalls;python;cyber threats,security;problem solving;protecting systems,Bachelor's + certifications + 3-5 years,5,750000,high,medium,very high,Mid-level monitoring and incident response.,Monitor SIEM logs;Perform vulnerability scans;Respond to incidents;Write reports;Update security policies
54,Doctor (General Practitioner),Science (PCB),biology;chemistry;medicine;anatomy;empathy,helping people;biology;science,MBBS,5.5,1800000,very high,high,high,Provide general medical care in clinics or hospitals.,Take patient history;Perform physical exams;Prescribe medications;Order tests;Follow up with patients
55,Chartered Accountant (Mid-Level),Commerce,accounting;taxation;auditing;finance;excel,business;numbers;compliance,Professional (CA) + 3-5 years,5,500000,high,medium,high,Mid-level auditing and taxation tasks.,Lead audit fieldwork;Prepare tax returns;Advise clients;Conduct compliance checks;Train juniors
56,Digital Marketing Analyst (Senior),Any,seo;analytics;google analytics;data interpretation;strategy,marketing;data-driven decisions,Bachelor's + 5-7 years,6,800000,medium,low,high,Senior-level digital campaign analysis and optimization.,Lead A/B testing;Analyze multi-channel data;Create advanced reports;Present strategic insights;Guide junior analysts
57,Fashion Designer (Mid-Level),Arts / Any,fashion sketching;garment construction;trend forecasting,textile knowledge;creativity,fashion;style;trends,Bachelor's + 3-5 years,5,600000,medium,low,high,Mid-level fashion design and production support.,Create seasonal designs;Work with suppliers;Assist in production;Present to buyers;Study market trends
58,Government Job - State Civil Services (Mid-Level),Any,general studies;current affairs;law;administration,public service;administration,Bachelor's + State PSC + 5-7 years,8-10,600000,very high,low,very high,Serve in mid-level state administrative roles.,Manage district projects;Implement policies;Coordinate departments;Prepare reports;Train juniors
59,Software Engineer (Mid-Level),Science (PCM),python;c++;problem solving;web dev;git,technology;innovation;gadgets,Bachelor's + 3-5 years,5,750000,medium,low,high,Mid-level software development and feature implementation.,Develop new features;Fix bugs;Write unit tests;Collaborate with team;Participate in code reviews
60,AI/ML Engineer (Lead),Science (PCM),python;machine learning;tensorflow;statistics;data modeling;leadership,AI;data patterns;automation;research,Master's preferred + experience,8,1200000,high,medium,very high,Lead AI/ML projects and team.,Lead ML initiatives;Guide model development;Review performance;Publish research;Present to leadership
61,Data Scientist (Lead),Science (PCM),python;sql;statistics;machine learning;pandas;leadership,data analysis;research;insights;strategy,Master's preferred + experience,7,1100000,high,medium,high,Lead data science teams and strategic analysis.,Lead data strategy;Mentor data scientists;Drive business decisions;Present insights;Publish findings
62,Cybersecurity Specialist (Senior),Science (PCM) or Any,networking;ethical hacking;firewalls;python;cyber threats,security;problem solving;protecting systems,Bachelor's + advanced certifications + experience,7,950000,high,medium,very high,Senior-level cybersecurity strategy and response.,Develop security policies;Lead incident response;Mentor team;Conduct advanced audits;Report to management
63,Doctor (Consultant),Science (PCB),biology;chemistry;medicine;anatomy;empathy;specialization,helping people;biology;science,MBBS + PG + experience,10+,2500000,very high,high,high,Provide specialist consultation in hospitals.,Consult on complex cases;Perform specialized procedures;Teach juniors;Publish research;Lead department
64,Chartered Accountant (Lead),Commerce,accounting;taxation;auditing;finance;excel;leadership,business;numbers;compliance,Professional (CA) + experience,8,900000,high,medium,high,Lead financial advisory and audit teams.,Lead audit engagements;Advise on tax strategy;Mentor juniors;Prepare financial reports;Consult on compliance
65,Digital Marketing (Lead),Any,seo;social media;content strategy;google ads;analytics;leadership,marketing;trends;creativity,Bachelor's + experience,7,900000,medium,low,very high,Lead digital marketing teams and strategy.,Create marketing roadmap;Lead campaigns;Analyze ROI;Mentor team;Present to executives
66,Fashion Designer (Director),Arts / Any,fashion sketching;garment construction;trend forecasting;brand management;leadership,fashion;creativity;branding,Bachelor's + extensive experience,10,1200000,medium,low,high,Direct fashion design and brand strategy for major labels.,Lead design direction;Manage global teams;Present collections;Collaborate with luxury brands;Drive brand vision
67,Government Job - Cabinet Secretary Level,Any (UPSC),general studies;administration;policy;leadership,public service;policy;leadership,Bachelor's + UPSC + decades of service,30+,500000,very high,low,very high,Serve as top-most civil servant in India.,Advise Prime Minister;Coordinate ministries;Formulate national policy;Lead bureaucracy;Represent India internationally
68,Software Engineer (Tech Lead),Science (PCM),python;c++;problem solving;web dev;git;leadership,technology;innovation;gadgets;team management,Bachelor's + experience,8,1100000,medium,low,high,Lead technical teams in software development.,Lead sprint execution;Conduct code reviews;Mentor developers;Design technical solutions;Present progress to management
69,AI/ML Engineer (Principal),Science (PCM),python;machine learning;tensorflow;statistics;data modeling;leadership,AI;data patterns;automation;research,Master's + senior experience,9,1300000,high,medium,very high,Principal AI/ML engineer leading complex projects.,Lead high-impact AI initiatives;Guide technical direction;Mentor senior engineers;Publish advanced research;Present to executives
70,Data Scientist (Principal),Science (PCM),python;sql;statistics;machine learning;pandas;leadership,data analysis;research;insights;strategy,Master's + senior experience,9,1300000,high,medium,high,Principal data scientist leading advanced analytics.,Lead advanced analytics projects;Guide data strategy;Mentor senior analysts;Publish insights;Present to C-level
71,Cybersecurity Specialist (Principal),Science (PCM) or Any,networking;ethical hacking;firewalls;python;cyber threats;leadership,security;problem solving;protecting systems,Bachelor's + advanced certifications + senior experience,10,1400000,very high,medium,very high,Principal cybersecurity specialist leading advanced security.,Lead advanced security initiatives;Guide security strategy;Mentor senior analysts;Publish security research;Present to board
72,Digital Marketing (Principal),Any,seo;social media;content strategy;google ads;analytics;leadership,marketing;trends;creativity,Bachelor's + extensive experience,10,1200000,medium,low,very high,Principal digital marketing strategist.,Lead enterprise marketing strategy;Guide marketing teams;Analyze ROI at scale;Present to board;Drive revenue growth
73,Fashion Design (Principal),Arts / Any,fashion sketching;garment construction;trend forecasting;brand management;leadership,fashion;creativity;branding,Bachelor's + extensive experience,10,1200000,medium,low,high,Principal fashion designer leading brand vision.,Lead global design direction;Manage international teams;Present collections;Collaborate with luxury brands;Drive brand vision
74,Government Job - Secretary Level,Any (UPSC),general studies;administration;policy;leadership,public service;policy;leadership,Bachelor's + UPSC + decades of service,25+,500000,very high,low,very high,Serve as Secretary in central ministries.,Formulate policy;Coordinate departments;Advise ministers;Lead bureaucracy;Represent India
75,Software Engineer (Senior Tech Lead),Science (PCM),python;c++;problem solving;web dev;git;leadership,technology;innovation;gadgets;team management,Bachelor's + senior experience,9,1200000,medium,low,high,Senior technical lead in software development.,Lead multiple teams;Design enterprise architecture;Conduct advanced reviews;Mentor leads;Present to executives
76,AI/ML Engineer (Distinguished),Science (PCM),python;machine learning;tensorflow;statistics;data modeling;leadership,AI;data patterns;automation;research,Master's + distinguished experience,12,1800000,high,medium,very high,Distinguished AI/ML engineer leading cutting-edge research.,Lead groundbreaking AI initiatives;Publish in top journals;Guide research direction;Mentor principal engineers;Present at global conferences
77,Data Scientist (Distinguished),Science (PCM),python;sql;statistics;machine learning;pandas;leadership,data analysis;research;insights;strategy,Master's + distinguished experience,12,1800000,high,medium,high,Distinguished data scientist leading advanced analytics.,Lead transformative data projects;Publish industry-leading insights;Guide data strategy;Mentor principal scientists;Present to board
78,Cybersecurity Specialist (Distinguished),Science (PCM) or Any,networking;ethical hacking;firewalls;python;cyber threats;leadership,security;problem solving;protecting systems,Bachelor's + advanced certifications + distinguished experience,15,2000000,very high,medium,very high,Distinguished cybersecurity specialist leading global security.,Lead global security strategy;Publish security research;Guide CISO-level decisions;Mentor principal specialists;Present at international forums
79,Digital Marketing (Distinguished),Any,seo;social media;content strategy;google ads;analytics;leadership,marketing;trends;creativity,Bachelor's + distinguished experience,12,1500000,medium,low,very high,Distinguished digital marketing leader.,Lead enterprise-wide marketing transformation;Publish marketing thought leadership;Guide CMO-level decisions;Mentor principal marketers;Present to board
80,Fashion Design (Distinguished),Arts / Any,fashion sketching;garment construction;trend forecasting;brand management;leadership,fashion;creativity;branding,Bachelor's + distinguished experience,12,1500000,medium,low,high,Distinguished fashion designer leading global brands.,Lead global design vision;Manage international design teams;Present at Paris/Milan Fashion Weeks;Collaborate with luxury houses;Drive brand legacy
81,Government Job - Principal Secretary Level,Any (UPSC),general studies;administration;policy;leadership,public service;policy;leadership,Bachelor's + UPSC + decades of service,25+,500000,very high,low,very high,Serve as Principal Secretary in key departments.,Formulate major policies;Coordinate multiple departments;Advise ministers;Lead senior bureaucracy;Represent India internationally
82,Software Engineer (Principal Engineer),Science (PCM),python;c++;problem solving;web dev;git;leadership,technology;innovation;strategy,Bachelor's + principal experience,10,1400000,medium,low,high,Principal engineer leading technical excellence.,Lead technical vision;Guide architecture decisions;Mentor senior engineers;Publish technical blogs;Present to C-level
83,AI/ML Engineer (Fellow),Science (PCM),python;machine learning;tensorflow;statistics;data modeling;leadership,AI;data patterns;automation;research,Master's + fellow-level experience,15,2000000,high,medium,very high,Fellow AI/ML engineer leading transformative AI.,Lead moonshot AI projects;Publish in Nature-level journals;Guide research direction;Mentor distinguished engineers;Present globally
84,Data Scientist (Fellow),Science (PCM),python;sql;statistics;machine learning;pandas;leadership,data analysis;research;insights;strategy,Master's + fellow-level experience,15,2000000,high,medium,high,Fellow data scientist leading advanced analytics.,Lead transformative data initiatives;Publish industry-leading papers;Guide data strategy;Mentor distinguished scientists;Present globally
85,Cybersecurity Specialist (Fellow),Science (PCM) or Any,networking;ethical hacking;firewalls;python;cyber threats;leadership,security;problem solving;protecting systems,Bachelor's + advanced certifications + fellow-level experience,15,2000000,very high,medium,very high,Fellow cybersecurity specialist leading global security.,Lead global security vision;Publish in top security journals;Guide CISO-level strategy;Mentor distinguished specialists;Present internationally
86,Digital Marketing (Fellow),Any,seo;social media;content strategy;google ads;analytics;leadership,marketing;trends;creativity,Bachelor's + fellow-level experience,15,1800000,medium,low,very high,Fellow digital marketing leader.,Lead global marketing transformation;Publish marketing thought leadership;Guide CMO-level strategy;Mentor distinguished marketers;Present internationally
87,Fashion Design (Fellow),Arts / Any,fashion sketching;garment construction;trend forecasting;brand management;leadership,fashion;creativity;branding,Bachelor's + fellow-level experience,15,1800000,medium,low,high,Fellow fashion designer leading global fashion houses.,Lead global design vision;Manage international design teams;Present at global fashion weeks;Collaborate with luxury houses;Drive fashion legacy
88,Government Job - Chief Secretary Level,Any (UPSC),general studies;administration;policy;leadership,public service;policy;leadership,Bachelor's + UPSC + decades of service,30+,500000,very high,low,very high,Serve as Chief Secretary of a state.,Lead state administration;Formulate state policies;Coordinate all departments;Advise Chief Minister;Represent state nationally
89,Software Engineer (Distinguished Engineer),Science (PCM),python;c++;problem solving;web dev;git;leadership,technology;innovation;strategy,Bachelor's + distinguished experience,15,2000000,medium,low,high,Distinguished engineer leading technical innovation.,Lead technical innovation;Guide enterprise architecture;Mentor principal engineers;Publish technical papers;Present globally
90,AI/ML Engineer (Chief AI Officer),Science (PCM),python;machine learning;tensorflow;statistics;data modeling;leadership;strategy,AI;data patterns;automation;business,Master's + C-level experience,15,2500000,high,medium,very high,Chief AI Officer leading AI transformation.,Define enterprise AI strategy;Lead AI organization;Secure board approval;Publish thought leadership;Present globally
91,Data Scientist (Chief Data Officer),Science (PCM),python;sql;statistics;machine learning;pandas;leadership;strategy,data analysis;research;insights;business,Master's + C-level experience,15,2500000,high,medium,high,Chief Data Officer leading data-driven transformation.,Define enterprise data strategy;Lead data organization;Drive business transformation;Publish thought leadership;Present globally
92,Cybersecurity Specialist (Chief Security Officer),Science (PCM) or Any,networking;ethical hacking;firewalls;python;cyber threats;leadership;strategy,security;problem solving;protecting systems;business,Bachelor's + C-level experience,15,2500000,very high,medium,very high,Chief Security Officer leading enterprise security.,Define enterprise security strategy;Lead security organization;Report to board;Publish security thought leadership;Present globally
93,Digital Marketing (Chief Marketing Officer),Any,seo;social media;content strategy;google ads;analytics;leadership;business,marketing;trends;creativity,Bachelor's + C-level experience,15,2500000,medium,low,very high,Chief Marketing Officer leading global marketing.,Define enterprise marketing strategy;Lead marketing organization;Drive revenue growth;Publish marketing thought leadership;Present globally
94,Fashion Design (Chief Creative Officer),Arts / Any,fashion sketching;garment construction;trend forecasting;brand management;leadership,fashion;creativity;branding,Bachelor's + C-level experience,15,2500000,medium,low,high,Chief Creative Officer leading global fashion brands.,Define creative vision;Lead design organization;Present collections globally;Collaborate with luxury houses;Drive brand legacy
95,Government Job - Union Home Secretary Level,Any (UPSC),general studies;administration;policy;leadership,public service;policy;leadership,Bachelor's + UPSC + decades of service,30+,500000,very high,low,very high,Serve as Union Home Secretary.,Formulate national home policy;Coordinate security ministries;Advise Home Minister;Lead national security;Represent India internationally
96,Software Engineer (VP Engineering),Science (PCM),python;c++;problem solving;web dev;git;leadership;strategy,technology;innovation;business,Bachelor's + VP-level experience,15,3000000,medium,low,high,VP Engineering leading engineering organization.,Define engineering vision;Lead multiple engineering teams;Drive technical strategy;Present to board;Publish technical thought leadership
97,AI/ML Engineer (VP AI),Science (PCM),python;machine learning;tensorflow;statistics;data modeling;leadership;strategy,AI;data patterns;automation;business,Master's + VP-level experience,15,3000000,high,medium,very high,VP AI leading AI organization.,Define AI vision;Lead AI teams;Drive AI strategy;Secure funding;Present to board
98,Data Scientist (VP Data),Science (PCM),python;sql;statistics;machine learning;pandas;leadership;strategy,data analysis;research;insights;business,Master's + VP-level experience,15,3000000,high,medium,high,VP Data leading data organization.,Define data vision;Lead data teams;Drive data strategy;Publish thought leadership;Present to board
99,Cybersecurity Specialist (VP Security),Science (PCM) or Any,networking;ethical hacking;firewalls;python;cyber threats;leadership;strategy,security;problem solving;protecting systems;business,Bachelor's + VP-level experience,15,3000000,very high,medium,very high,VP Security leading security organization.,Define security vision;Lead security teams;Drive security strategy;Publish security thought leadership;Present to board
100,Digital Marketing (VP Marketing),Any,seo;social media;content strategy;google ads;analytics;leadership;business,marketing;trends;creativity,Bachelor's + VP-level experience,15,3000000,medium,low,very high,VP Marketing leading marketing organization.,Define marketing vision;Lead marketing teams;Drive revenue growth;Publish marketing thought leadership;Present to board
